study,condition,coef,r_scale,n_pp,M,BF10,BF01,log_BF10,interp
Study1A,hits,b_change_M1,0.707,181,-8.620915709985642,4060846586111486e9,2.4625407012914574e-25,56.6634337024804,Extreme evidence: slope ≠ 0
Study1A,hits,b_change_M2,0.707,181,-12.550874168282736,12.672442730322297,0.07891138443318632,2.5394297721450254,Strong evidence: slope ≠ 0
Study1A,hits,b_change2_M2,0.707,181,12.618286035324694,1.4575696380482612,0.6860735665014512,0.376770417207994,Anecdotal: slope ≠ 0
Study1A,misses,b_change_M1,0.707,65,-1.7059486582642653,0.14739879502734146,6.784315976358605,-1.9146134741087448,Moderate evidence FOR null
Study1A,misses,b_change_M2,0.707,65,21.707639760605595,0.34845161895302407,2.8698388688927667,-1.0542558849525006,Inconclusive
Study1A,misses,b_change2_M2,0.707,54,-16.634088042440236,0.1603213956124316,6.237470651873855,-1.830574755956164,Moderate evidence FOR null
Study2,hits,b_change_M1,0.707,166,-8.688920240573196,9785269858285922e12,1.0219442227781026e-28,64.45067569007918,Extreme evidence: slope ≠ 0
Study2,hits,b_change_M2,0.707,166,-8.415678627944192,32721062877503305e9,3.056135443227089e-26,58.75006122709532,Extreme evidence: slope ≠ 0
Study2,hits,b_change2_M2,0.707,166,7.250642879521473,1.6322078445684551,0.6126670713706767,0.48993360417333637,Anecdotal: slope ≠ 0
Study2,misses,b_change_M1,0.707,130,-0.0522201407284105,0.09752700176124554,10.253570620863396,-2.327625998178475,Strong evidence FOR null
Study2,misses,b_change_M2,0.707,130,-7.560155444262139,0.09828658097984662,10.174328886311013,-2.3198677720340815,Strong evidence FOR null
Study2,misses,b_change2_M2,0.707,109,-0.7272488929296582,0.10621613369591308,9.414765584133452,-2.2422792636720628,Moderate evidence FOR null
Study4,hits,b_change_M1,0.707,131,-0.4522409474656719,327035830.2671856,3.057768927591231e-9,19.605580295541404,Extreme evidence: slope ≠ 0
Study4,hits,b_change_M2,0.707,131,-0.40948154670916237,75784.94945031237,1.3195232130564919e-5,11.235654995851117,Extreme evidence: slope ≠ 0
Study4,hits,b_change2_M2,0.707,131,0.019688741743806318,0.09760388502522609,10.245493811455828,-2.3268379807689787,Strong evidence FOR null
Study4,misses,b_change_M1,0.707,131,-0.29327825583801925,14.224291021636262,0.07030227365841445,2.65495113846356,Strong evidence: slope ≠ 0
Study4,misses,b_change_M2,0.707,131,-0.2504648956398265,0.82721803438738994,1.2088711300166064,-0.1896869737400584,Inconclusive
Study4,misses,b_change2_M2,0.707,130,-0.788610777162144,0.2164169444048508,4.6207102810272644,-1.5305484337588826,Moderate evidence FOR null
Study5,hits,b_change_M1,0.707,185,-0.4293711384682659,1058523159701240.6,9.447124428361509e-16,34.59565108600076,Extreme evidence: slope ≠ 0
Study5,hits,b_change_M2,0.707,185,-0.38042713620528523,113730197.51259612,8.792739499896197e-9,18.54933951283894,Extreme evidence: slope ≠ 0
Study5,hits,b_change2_M2,0.707,185,1.3460053599457311,8188628.838515088,1.2212056740153073e-7,15.918257022828403,Extreme evidence: slope ≠ 0
Study5,misses,b_change_M1,0.707,184,-0.20238451155730625,2.648965569303225,0.37750585043014984,0.9741692125849363,Anecdotal: slope ≠ 0
Study5,misses,b_change_M2,0.707,184,-0.2578751408814178,1.171797896893706,0.8533894817962028,0.15853923336137135,Anecdotal: slope ≠ 0
Study5,misses,b_change2_M2,0.707,184,-1.3505798814273742,4.621030797734457,0.21640193363140273,1.5306177965996266,Moderate evidence: slope ≠ 0
