study,task_feature,questionnaire,n,r,t,p,ci_lower,ci_upper,p_bh
Study5,mean_Confidence,MAIA_BodyListen,181,0.27553985620801275,3.8349232564460123,1.7385129340121694e-4,0.13511221036852405,0.4051161452098845,0.02696371249904573
Study5,mean_Confidence,MAIA_AttentionReg,181,0.2678174162580745,3.7190094128747755,2.67427827658439e-4,0.12691746985750663,0.39812318673784164,0.02696371249904573
Study5,mean_Confidence,MAIA_total,181,0.26587697536787447,3.690005997927199,2.97393887857122e-4,0.12486137179236981,0.39636366079773583,0.02696371249904573
Study5,conf_acc_r,MAIA_BodyListen,181,-0.23652841583063447,-3.2569519335818153,0.0013472023296220515,-0.36963398178975254,-0.09391052754189681,0.08505836910091813
Study5,mean_Confidence,MAIA_EmoAware,181,0.23343641025752104,3.211904588022213,0.0015635729614139364,0.09066568699083592,0.3668050011299394,0.08505836910091813
Study5,mean_Confidence,SPANE_Pos,181,0.22542258786773298,3.0956267581266395,0.002279976369166698,0.08226983493049257,0.35946138450461634,0.10335892873555698
Study5,mean_Confidence,MAIA_Noticing,181,0.21558456267758505,2.953782550822801,0.003560853199295571,0.07199052689949913,0.35042336681959724,0.13836458145834218
Study5,mean_Confidence,MAIA_SelfReg,181,0.1910363140063793,2.6038468121053926,0.009992337877065258,0.04647350274812628,0.3277612864924425,0.2565327730012103
Study5,thresh_direction_diff,MAIA_total,181,0.19076335992800408,2.5999858119286756,0.010101233875209406,0.04619083336272987,0.3275084173119745,0.2565327730012103
Study5,Awareness,MAIA_BodyListen,181,-0.1890550268978032,-2.5758352097940147,0.010806888489522203,-0.32592534420517416,-0.04442222106037421,0.2565327730012103
Study5,conf_acc_r,MAIA_NotWorrying,181,0.1878842947517912,2.55929866163672,0.011315235738080147,0.0432107024414786,0.32484001009885555,0.2565327730012103
Study5,conf_acc_r,MAIA_total,181,-0.18787890854615372,-2.559222607877111,0.011317622338288688,-0.3248350159515752,-0.04320512957199224,0.2565327730012103
Study5,mean_arousal_overall,MAIA_EmoAware,181,0.18483578250642277,2.5162913886074234,0.01273896790060192,0.040057980042149374,0.3220121753559977,0.2665384053049017
Study5,slope_miss_dec,MAIA_AttentionReg,172,-0.1844948566538944,-2.4475342744831017,0.015400570554281425,-0.32515285160135565,-0.035850145377946833,0.2992110850546105
Study5,conf_acc_r,MAIA_Noticing,181,-0.1755887351591643,-2.3862915275026184,0.018062343384212896,-0.31341950965648047,-0.030512433564026848,0.3097606162330427
Study5,conf_acc_r,MAIA_EmoAware,181,-0.1745282222361642,-2.3714246902298717,0.01878180363523071,-0.3124326007709507,-0.029419375650388133,0.3097606162330427
Study5,slope_hit_overall,MAIA_EmoAware,181,-0.1737011267458939,-2.359835934355792,0.019360038514565168,-0.3116627024939623,-0.02856713908412216,0.3097606162330427
Study5,thresh_direction_diff,MAIA_EmoAware,181,0.1688580880332418,2.2920806684054185,0.023064981951093473,0.023581118693691675,0.307150942008527,0.3485375050387458
Study5,mean_Confidence,MAIA_Trusting,181,0.1622664100399436,2.20013502816423,0.029077710824797456,0.01680642654069177,0.3010001492948989,0.40050605141966616
Study5,mean_arousal_overall,MAIA_total,181,0.16189900875616162,2.195019271177503,0.029448974369093103,0.016429217120157675,0.300656981741501,0.40050605141966616
Study5,miss_rate,MAIA_NotDistracting,181,0.15923740931815056,2.1579865577422046,0.032261202871734174,0.013697799683488696,0.29816986757026903,0.40642194752323313
Study5,slope_miss_overall,MAIA_AttentionReg,180,-0.1591005258890816,-2.1500523009332824,0.03290061335396581,-0.2984194519183854,-0.013143055318531332,0.40642194752323313
Study5,conf_acc_r,MAIA_Trusting,181,-0.15737106392770422,-2.132047626747677,0.03436656173909692,-0.2964247473863269,-0.011783791728227347,0.40642194752323313
Study5,conf_acc_r,MAIA_AttentionReg,181,-0.1548285516076629,-2.096748792418617,0.03742107718120507,-0.29404588447302615,-0.009178064450699103,0.41953130748872874
Study5,Awareness,MAIA_total,181,-0.15302196051432285,-2.071693067714131,0.03972810028456627,-0.2923545262035732,-0.007327757064580172,0.41953130748872874
Study5,conf_acc_r,MAIA_SelfReg,181,-0.15219965073700314,-2.0602954627893406,0.04081717797577214,-0.29158437839921764,-0.006485879125424829,0.41953130748872874
Study5,Awareness,MAIA_EmoAware,181,-0.15062772203439312,-2.0385199496834283,0.042968938070388,-0.2901116595366199,-0.004877118527016189,0.41953130748872874
Study5,mean_Confidence,MAIA_NotWorrying,181,-0.1504720977942664,-2.036364991899561,0.04318704635913385,-0.2899658213290329,-0.004717888885037755,0.41953130748872874
Study5,slope_hit_overall,MAIA_total,181,-0.14300875570919047,-1.9331972666534962,0.054789763714756017,-0.28296417888239234,0.0029096922564806065,0.5138901976004702
Study5,slope_miss_dec,MAIA_total,172,-0.14393924807802574,-1.8964872043359837,0.059591741243535834,-0.28738391533382934,0.005820534513381798,0.5402984539413915
Study5,slope_hit_acc,MAIA_NotWorrying,181,-0.13849538104481648,-1.8709723241510374,0.06298089748014565,-0.27872276184000155,0.0075141646612615996,0.548237048417462
Study5,slope_miss_dec,PHQ4_Depression,172,0.13979215594442643,1.8407411976629706,0.06740266354982472,-0.010052538595303024,0.2834964750136251,0.548237048417462
Study5,slope_miss_overall,SPANE_Pos,180,-0.1349721746333144,-1.8173835817965942,0.07084003055811895,-0.27579097024054783,0.011518535244212424,0.548237048417462
Study5,miss_rate,MAIA_EmoAware,181,0.13315390246589348,1.7974837221706652,0.07394440795745243,-0.012955467404483015,0.27369606128235646,0.548237048417462
Study5,miss_rate,SPANE_Neg,181,0.12877812171178146,1.7374004266108287,0.08403653355080919,-0.01740658608369777,0.26957242026410655,0.548237048417462
Study5,slope_hit_acc,SPANE_Neg,181,0.12783845133941238,1.7245115205213284,0.08634178141996604,-0.01836167963405505,0.26868622127508307,0.548237048417462
Study5,slope_miss_dec,SPANE_Pos,172,-0.13059138524955496,-1.7174107768910665,0.08772517805693494,-0.2748548738833125,0.019422568880851625,0.548237048417462
Study5,miss_rate,MAIA_Trusting,181,-0.12715655675180607,-1.7151613316010852,0.08804613922800766,-0.2680429801601678,0.01905459939953976,0.548237048417462
Study5,mean_arousal_overall,MAIA_AttentionReg,181,0.12687102082934795,1.7112467770168738,0.08876776424974527,-0.0193447102804385,0.26777359264116674,0.548237048417462
Study5,slope_miss_overall,BIPS_total,180,-0.12642612127156966,-1.700378633134059,0.09080621818767663,-0.26773854981512396,0.020210926114325446,0.548237048417462
Study5,miss_rate,PHQ4_Depression,181,0.12563604221889146,1.6943208040299156,0.0919434688326153,-0.020599192683686575,0.2666082041450367,0.548237048417462
Study5,mean_arousal_overall,MAIA_BodyListen,181,0.12561788832088344,1.6940720560626115,0.091990817201333,-0.020617629849442,0.26659107013066585,0.548237048417462
Study5,thresh_direction_diff,MAIA_BodyListen,181,0.1242213708453879,1.6749418851323117,0.095691764010482,-0.022035640091691677,0.26527274169615883,0.548237048417462
Study5,thresh_direction_diff,Alexithymia,181,-0.12363011527387588,-1.666845633902729,0.09729385735821838,-0.26471443072923306,0.02263581798141577,0.548237048417462
Study5,slope_miss_overall,MAIA_Noticing,180,-0.12306304143207393,-1.6544414061617205,0.09980012691684466,-0.2645643044605942,0.02362552575317218,0.548237048417462
Study5,slope_miss_dec,MAIA_Noticing,172,-0.12561612180149118,-1.6509108382291287,0.10060295423740209,-0.2701722487636626,0.024478404792462855,0.548237048417462
Study5,slope_miss_overall,MAIA_NotDistracting,180,0.12194502687324649,1.6391830419990052,0.10294137088329708,-0.024759909930909724,0.26350838610076666,0.548237048417462
Study5,mean_arousal_overall,PHQ4_Anxiety,181,-0.12119113810200208,-1.6334668956920493,0.10412851114754244,-0.26241035248216305,0.02511048649489527,0.548237048417462
Study5,mean_arousal_overall,PHQ4_Depression,181,-0.11912924259177045,-1.6052721743904494,0.11019670562487698,-0.2604612427489609,0.02720115753154912,0.548237048417462
Study5,arousal_conf_r,MAIA_NotDistracting,173,0.12157989987791652,1.6017458056019536,0.11105752519796953,-0.028130630784175,0.26595577627991585,0.548237048417462
Study5,mean_arousal_overall,MAIA_SelfReg,181,0.11874359710607156,1.6000011407580172,0.11136182212422352,-0.027592042977557064,0.26009656416232163,0.548237048417462
Study5,mean_arousal_overall,SPANE_Pos,181,0.11840951639200233,1.5954354923759424,0.11237892396151643,-0.027930626843032765,0.2597806142558532,0.548237048417462
Study5,thresh_direction_diff,MAIA_AttentionReg,181,0.11714919836437729,1.5782165367456937,0.11628144091648816,-0.02920763078123722,0.25858842208972066,0.548237048417462
Study5,slope_miss_overall,BARQ_total,180,-0.1173535976291757,-1.5765861811738429,0.11666635450154281,-0.2591684115427992,0.02941460714090191,0.548237048417462
Study5,mean_arousal_overall,MAIA_Trusting,181,0.11687517756184891,1.5744737841297813,0.11714374580844643,-0.029485216252904952,0.2583291563074549,0.548237048417462
Study5,Awareness,MAIA_NotWorrying,181,0.11661731995767821,1.57095213184375,0.11795972605458888,-0.029746407648034833,0.2580851647837795,0.548237048417462
Study5,arousal_salience_diff,BIPS_total,181,-0.11625158525095777,-1.5659577160718183,0.1191246541114433,-0.25773906620796094,0.03011683659087705,0.548237048417462
Study5,arousal_salience_diff,MSES_selfdoubt,181,-0.11554530747988612,-1.556314723270651,0.12139955228497794,-0.2570706053975169,0.03083206572797038,0.548237048417462
Study5,slope_miss_dec,MSES_selfdoubt,172,0.11854476859448139,1.5566107974761247,0.12142261518906328,-0.031651088738575445,0.26350503518010115,0.548237048417462
Study5,slope_hit_overall,MAIA_SelfReg,181,-0.11538452332253214,-1.5541198305259172,0.12192211088929647,-0.2569184113457613,0.030994866719885772,0.548237048417462
Study5,mean_Confidence,MSES_selfdoubt,181,-0.11506974085183926,-1.5498230380725182,0.12295022041715142,-0.2566204262164168,0.03131357525363568,0.548237048417462
Study5,Awareness,MAIA_Trusting,181,-0.11335921710753737,-1.5264825608191275,0.12865474251223438,-0.25500070844478695,0.03304491296868641,0.564420805860125
