id,miss_rate,n_trials,mean_arousal_overall,slope_hit_overall,slope_miss_overall,slope_hit_acc,slope_miss_acc,slope_hit_dec,slope_miss_dec,conf_acc_r,arousal_conf_r,arousal_salience_diff,MAIA_total,MAIA_Noticing,MAIA_NotDistracting,MAIA_NotWorrying,MAIA_AttentionReg,MAIA_EmoAware,MAIA_SelfReg,MAIA_BodyListen,MAIA_Trusting,study
1,0.3,10,30.5,0.13725490196077056,3.4615384615384714,-15.000000000000036,NA,10,NA,0.13852712896188304,0.5097502835266261,NA,147,4.5,3.8333333333333295,2,4.42857142857143,4.8,3.75,4,4.66666666666667,Study1A
10,0.2,10,14.6,-13.233993015133878,NA,27.499999999999993,NA,-9.999999999999973,NA,0.11826003249758148,-0.7225388039191133,NA,96,3.25,2.5,1.6,2.85714285714286,4,2.75,1.33333333333333,1.66666666666667,Study1A
100,0.2,10,31.5,3.771139560613241,NA,-220.0000000000002,NA,1.6666666666666208,NA,0.6509653480261968,0.6292733065313438,NA,120,3.5,1.83333333333333,2.2,4,3.6,3.5,3.6666666666666705,4.33333333333333,Study1A
101,0.4,10,15.3,-9.225806451612906,-6.375838926174498,-66.66666666666676,NA,NA,-90.00000000000021,-0.2580175457896908,0.006845196467105013,NA,108,2.5,3.6666666666666705,2.6,2.4285714285714306,4.6,1.75,1.66666666666667,3.6666666666666705,Study1A
102,0.2,10,7,-3.5235235235235245,NA,-3.3333333333333304,NA,-12.499999999999998,NA,0.13785516732495412,-0.38903659428238974,NA,101,4,3.16666666666667,2.2,3.14285714285714,3.6,0.75,1.33333333333333,2.66666666666667,Study1A
103,0.2,10,15,-2.099567099567105,NA,-35.00000000000001,NA,-9.999999999999991,NA,0,0.36616138081647764,NA,131,4.5,3,1.6,3.4285714285714306,5,2,5,5,Study1A
104,0.2,10,21.2,-2.026446848703423,NA,-199.99999999999997,NA,-130.00000000000017,NA,0.7768489914897252,0.009138719666498771,NA,103,5,1,3,3.14285714285714,2,2.25,3.6666666666666705,3.33333333333333,Study1A
105,0.2,10,32.6,-5.081988718352356,NA,-25.000000000000007,NA,94.54545454545456,NA,0.8653818262417059,-0.01319321359435944,NA,104,2.5,3.33333333333333,2.2,3.28571428571429,3,1.5,1.66666666666667,4.66666666666667,Study1A
106,0.1,10,17.3,-9.061823978139582,NA,NA,NA,14.230769230769232,NA,0.5206769630145521,-0.7509699618774025,NA,128,4,1.83333333333333,3,4,4.2,4,3,4,Study1A
107,0.2,10,7.6,1.7835497835497836,NA,80.00000000000023,NA,3.3333333333333326,NA,0.40154036232574075,-0.014996907206800011,NA,121,4,3.16666666666667,3,3.28571428571429,3.6,2.75,2.33333333333333,4,Study1A
108,0.4,10,25.4,-1.8361836183618454,6.693877551020405,NA,100.00000000000021,6.857142857142851,NA,0.7720488173262747,0.5175621680510587,NA,133,4,3,2.4,3.14285714285714,4.4,4.25,4.33333333333333,4.33333333333333,Study1A
109,0.3,10,26.3,-1.651917404129796,-2.3076923076923226,4.99999999999997,NA,-5.263157894736849,NA,0.2720608760984381,0.08841634645389901,NA,121,3,3.5,3.6,3.4285714285714306,3.2,3.5,2.33333333333333,3,Study1A
11,0.3,10,21.4,-1.8935734435985607,-2.419354838709667,-14.102564102564104,NA,15.445284258954985,NA,0.40517496575009504,0.8851818356521896,NA,112,3,2,1.8,4,4.2,3,2.33333333333333,3.6666666666666705,Study1A
110,0.2,10,20.3,-28.34996162701458,NA,20.00000000000015,NA,-171.6666666666667,NA,0.7452233132355442,-0.11697503631428033,NA,107,3.75,1.33333333333333,3.2,3.71428571428571,3.4,2.75,0.666666666666667,4,Study1A
111,0.1,10,32.1,-6.767208043310133,NA,-5.000000000000016,NA,83.3333333333333,NA,0.7304174834821295,0.574350649830025,NA,134,4.25,2.66666666666667,2,4,5,3.75,2.66666666666667,5,Study1A
112,0.3,10,23.6,-14.727168294083857,-21.967213114754102,34.99999999999999,NA,19.999999999999986,NA,0.6447730936691171,-0.10686700407256416,NA,113,3.75,2.5,2.4,3.4285714285714306,3.8,3,2,3.33333333333333,Study1A
113,0.2,10,27,-15.527708159287103,NA,-45,NA,-66.81818181818181,NA,0.4375379775804756,-0.2580660634813527,NA,109,3,3,3.6,2.4285714285714306,5,0.75,3.33333333333333,2,Study1A
114,0.2,10,19.1,-11.458863443596266,NA,190.76923076923072,NA,-67.27272727272727,NA,0.5310494029419515,-0.5097728991982966,NA,91,2.5,3.16666666666667,1.2,2,4.2,1.5,3.33333333333333,1.66666666666667,Study1A
115,0.3,10,24.1,-5.134274010013659,16.66666666666666,85.00000000000001,NA,53.33333333333321,NA,0.5308588184157569,0.005977696975440515,NA,135,3.75,2.16666666666667,3.8,3.85714285714286,4.2,4,4,4,Study1A
116,0.3,10,22,-8.260869565217396,-38.57142857142862,NA,-38.57142857142862,8.636363636363653,NA,0.5044296328024895,0.15572553071705225,NA,99,4,3.33333333333333,2,2.14285714285714,4.2,1.75,2,1.33333333333333,Study1A
117,0.1,10,30.8,8.408551068883607,NA,-63.6363636363637,NA,22.222222222222143,NA,0.9967321699648326,0.6323479474902757,NA,115,2.5,4,2.6,2.85714285714286,3.8,3,2.66666666666667,3,Study1A
118,0.1,10,33.2,-4.361233480176208,NA,-30.833333333333353,NA,28.000000000000036,NA,-0.6174846928379,-0.3064856269866547,NA,138,4.25,2.66666666666667,3,3.71428571428571,4.6,4.5,3,4.66666666666667,Study1A
119,0.2,10,28.6,-9.195832220144265,NA,-24.687499999999993,NA,5.000000000000031,NA,-0.04224095377771143,-0.008437650276384044,NA,138,4,3.5,1.8,4.28571428571429,4.8,3.5,4,4,Study1A
12,0.3,10,23.6,-13.922829581993572,-9.099526066350702,-7.1428571428571095,NA,-74.00000000000001,NA,0.5232086766110001,-0.18520909828283663,NA,145,3.25,3.8333333333333295,3.4,3.71428571428571,4.6,4,4,5,Study1A
120,0.4,10,27.1,-15.255681818181818,-4.072398190045249,-32.727272727272776,NA,NA,-18.421052631579055,0.7981889936190079,0.00617932693425166,NA,129,3.5,3.8333333333333295,3.6,3,4.6,2.25,4,3,Study1A
121,0.3,10,24.4,8.470195914964561,-13.333333333333332,78.18181818181816,NA,240.00000000000043,NA,0.5242580954473806,0.3240931098738339,NA,108,3,2.66666666666667,1.8,3.28571428571429,3.2,3.25,3.33333333333333,3,Study1A
122,0.3,10,26.4,-5.0505731625084405,1.4285714285714384,-5.000000000000067,NA,11.57894736842106,NA,-0.13840494942764944,-0.029420602960024682,NA,127,4,2,3.4,3.5714285714285694,3.8,3.5,3.6666666666666705,4.33333333333333,Study1A
123,0.2,10,23.1,-15.951300041271152,NA,-5.000000000000041,NA,23.33333333333331,NA,0.7402098775510954,-0.5601794158555998,NA,117,3.25,2.83333333333333,2,3.14285714285714,4.2,3,2.33333333333333,5,Study1A
124,0.2,10,21.9,-9.323185648273995,NA,-40.00000000000001,NA,10.83333333333337,NA,-0.34022878627424563,-0.4011340563481804,NA,103,2.75,3.8333333333333295,2.2,2.5714285714285694,3.4,2.25,2.33333333333333,2.33333333333333,Study1A
125,0.3,10,5.9,-9.583057577763068,-8.571428571428571,-7.5000000000000115,NA,-10.526315789473685,NA,0.4069784637782399,-0.061670145646234284,NA,96,3.5,3.6666666666666705,2.2,1.85714285714286,3.8,1.75,1.33333333333333,2,Study1A
126,0.3,10,19.5,3.30907326540514,55.000000000000156,NA,55.000000000000156,-5.714285714285789,NA,0.2746503075637747,0.19360349459047166,NA,106,3,3.16666666666667,3.2,3.14285714285714,2.2,2.25,2,3.6666666666666705,Study1A
127,0.2,10,29,-12.688577228760597,NA,-46.8421052631579,NA,17.557786598178847,NA,-0.22742941307367104,0.0829050331895482,NA,97,3.25,3.33333333333333,2.4,2.28571428571429,2.2,2.75,2.66666666666667,2,Study1A
128,0.2,10,19.8,-13.387096774193544,NA,-2.1052631578947194,NA,-88.14814814814801,NA,0.3352119050341078,-0.7289252318362153,NA,112,3.5,3,2.6,2.85714285714286,3.6,2,3.33333333333333,3.6666666666666705,Study1A
129,0.2,10,20.3,-17.77777777777778,NA,-61.818181818181735,NA,-29.714285714285683,NA,0.2492459804447287,-0.07099352809553956,NA,112,3.75,3.33333333333333,2.8,3.4285714285714306,3.4,2.75,1,2.66666666666667,Study1A
13,0.2,10,33,11.510503501167063,NA,-30.08130081300814,NA,87.89473684210529,NA,0.06674912392349772,0.6837275309426635,NA,139,4.25,1.33333333333333,3.8,4,5,4.25,3.33333333333333,5,Study1A
130,0.5,10,34.8,1.4613970588235277,-1.4117647058823528,NA,3.972054645195636e-15,-5.454545454545436,NA,-0.7557086549031783,0.9372970489891824,NA,145,3,3.16666666666667,4.2,4,4.4,4,4.33333333333333,4.66666666666667,Study1A
131,0.2,10,17.9,-6.502057613168723,NA,-31.48148148148147,NA,109.99999999999996,NA,0.39038188722650075,0.3204121481987237,NA,125,4.75,1.66666666666667,3.8,3.71428571428571,3.6,3.5,3.33333333333333,3,Study1A
132,0.4,10,32.7,-9.747989276139405,-5.817490494296581,NA,NA,-7.500000000000096,NA,0.7270813320450359,-0.34917356161073204,NA,124,4,3.33333333333333,3.4,3.5714285714285694,3.6,2.25,2.66666666666667,3.6666666666666705,Study1A
133,0.1,10,24.5,-28.54625550660793,NA,41.142857142857125,NA,-3.1818181818181657,NA,0.3220583512310895,-0.251501789448683,NA,73,3.5,1.33333333333333,3.6,1.85714285714286,2.2,1,1.33333333333333,0.333333333333333,Study1A
134,0.4,10,22.6,-9.11795961742826,-143.63636363636374,NA,-143.63636363636374,32.5,NA,0.10196016338174924,-0.4026551978073435,NA,104,3.25,3,3.2,2.28571428571429,2.6,2.75,1.66666666666667,4,Study1A
135,0,10,35.7,-6.667960034920942,NA,-46,NA,-189.9999999999997,NA,NA,-0.014513668864288572,NA,126,4,2.5,3.4,3.28571428571429,4.2,3.5,2.66666666666667,4,Study1A
136,0.2,10,7.8,-3.5722791140747816,NA,-75,NA,29.63855421686747,NA,0.3074436614052591,0.17297234666974817,NA,110,3.75,3,2.4,3.71428571428571,3.4,2,1,3.6666666666666705,Study1A
137,0.2,10,14.6,-34.83464566929135,NA,-23.333333333333368,NA,-31.875,NA,0.41338712775500785,-0.4087238883730534,NA,126,3.75,2,3.8,4,3.8,3.75,1,5,Study1A
138,0.1,10,25.2,-0.3505765035836713,NA,209.9999999999992,NA,-72.85714285714296,NA,-0.1111111111111111,0.009092412093166349,NA,99,5,3,1.4,3,4.2,1.25,0,2.33333333333333,Study1A
