study,task_feature,questionnaire,n_s4,r_s4,t,p_s4,ci_lower,ci_upper,p_bh_s4,r_s5,p_s5,p_bh_s5,n_s5,same_direction,replicated,sig_s4,sig_s5
Study4,mean_Confidence,MAIA_Noticing,63,0.37451817441093227,3.1546793603923,0.00249451315771483,0.13971791752334756,0.5694431493780406,0.3867662085438974,0.21558456267758505,0.003560853199295571,0.13836458145834218,181,TRUE,TRUE,FALSE,FALSE
Study4,slope_miss_overall,MAIA_Trusting,63,0.36255899277842113,3.0384069631350368,0.003498539481272936,0.1261235696709893,0.5600179283048032,0.3867662085438974,-5.982553595087439e-4,0.9936405121760599,0.9962431358547761,180,FALSE,FALSE,FALSE,FALSE
Study4,mean_Confidence,MAIA_total,63,0.3470545056159742,2.8902243482348684,0.005325067849298238,0.10863037862416985,0.5477220322391748,0.3867662085438974,0.26587697536787447,2.97393887857122e-4,0.02696371249904573,181,TRUE,TRUE,FALSE,TRUE
Study4,mean_Confidence,MAIA_Trusting,63,0.3412977564504223,2.8359017493718444,0.0061919297734642454,0.10217260790633506,0.5431344445722294,0.3867662085438974,0.1622664100399436,0.029077710824797456,0.40050605141966616,181,TRUE,TRUE,FALSE,FALSE
Study4,mean_Confidence,MAIA_EmoAware,63,0.33974434466078407,2.821305546320433,0.006446103475731624,0.10043347742427233,0.5418944534255526,0.3867662085438974,0.23343641025752104,0.0015635729614139364,0.08505836910091813,181,TRUE,TRUE,FALSE,FALSE
Study4,arousal_conf_r,MAIA_NotWorrying,61,-0.3348480926258569,-2.729590463845213,0.008345460039291756,-0.5410468450424405,-0.09067305962817886,0.41727300196458783,0.03700833768893633,0.6288078609618709,0.962396519053323,173,FALSE,FALSE,FALSE,FALSE
Study4,mean_arousal_overall,MAIA_BodyListen,63,0.29416428623942764,2.403855415134074,0.01927668865219662,0.05004684914002222,0.5051147272017589,0.826143799379855,0.12561788832088344,0.091990817201333,0.548237048417462,181,TRUE,FALSE,FALSE,FALSE
Study4,mean_Confidence,MAIA_AttentionReg,63,0.28421407469549215,2.315262345279726,0.02397808638950734,0.03921015466789559,0.4969824439530168,0.8525345592169666,0.2678174162580745,2.67427827658439e-4,0.02696371249904573,181,TRUE,TRUE,FALSE,TRUE
Study4,slope_hit_acc,MAIA_Noticing,63,-0.2812085454957613,-2.2886641437041675,0.025576036776508996,-0.49451866094655844,-0.035948151379215136,0.8525345592169666,-0.021360264774237026,0.7753265338084593,0.962396519053323,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_hit_acc,MAIA_BodyListen,63,-0.27037897746970313,-2.1934236418819957,0.03209828112140096,-0.4856126006378961,-0.024237634849766227,0.9629484336420288,0.026789263776448333,0.720358307894893,0.962396519053323,181,FALSE,FALSE,FALSE,FALSE
Study4,mean_Confidence,MAIA_BodyListen,63,0.2622581411447404,2.1225972298832443,0.03785492960495259,0.015500292464918616,0.4789047134108575,0.9903863843384291,0.27553985620801275,1.7385129340121694e-4,0.02696371249904573,181,TRUE,TRUE,FALSE,TRUE
Study4,mean_Confidence,SPANE_Neg,63,-0.2579336418036147,-2.0850797476897465,0.04125438745740355,-0.4753222833156971,-0.0108628184221895,0.9903863843384291,-0.01782549559455265,0.8117453998802765,0.9698366158213383,181,TRUE,FALSE,FALSE,FALSE
Study4,arousal_salience_diff,SPANE_Neg,63,0.24843470693720462,2.003138186858236,0.04961113090712196,7.135985409272889e-4,0.46742794493244216,0.9903863843384291,0.07390230617819449,0.32280099506935,0.7910078437735423,181,TRUE,FALSE,FALSE,FALSE
Study4,mean_arousal_overall,MAIA_Trusting,63,0.245837343136462,1.9808408648081723,0.05212286565804365,-0.0020527207077094167,0.46526323977665346,0.9903863843384291,0.11687517756184891,0.11714374580844643,0.548237048417462,181,TRUE,FALSE,FALSE,FALSE
