outcome,subscale,r,ci_lower,ci_upper,p_value,n,p_BH,sig_BH
threshold,MAIA_Noticing,-0.014854747475380115,-0.152935058600037,0.1237944693560733,0.8342136906473223,201,0.8342136906473223,FALSE
threshold,MAIA_NotDistracting,0.10555333536154907,-0.033328242264080904,0.24043576182684984,0.13587939178135414,201,0.6861157207833208,FALSE
threshold,MAIA_NotWorrying,-0.025891591628293204,-0.16369973087003928,0.11290770383671443,0.7152245218400738,201,0.8173994535315129,FALSE
threshold,MAIA_AttentionReg,0.05018625122616601,-0.08882540455462215,0.18728021211134216,0.479242536048027,201,0.8173994535315129,FALSE
threshold,MAIA_EmoAware,0.0802740008344409,-0.05877366289871656,0.2162661108347181,0.25729339529374534,201,0.6861157207833208,FALSE
threshold,MAIA_SelfReg,0.026489699871136165,-0.11231677516657079,0.1642821536819915,0.7089403789834532,201,0.8173994535315129,FALSE
threshold,MAIA_BodyListen,0.08913288277563701,-0.04987709499593746,0.22475512920790727,0.20828274172407482,201,0.6861157207833208,FALSE
threshold,MAIA_Trusting,0.030776798066727392,-0.10807826253986014,0.16845401195722673,0.6644933361662968,201,0.8173994535315129,FALSE
confidence,MAIA_Noticing,0.14550767443788792,0.0072591374101268705,0.2782981647996918,0.03929890130046825,201,0.052398535067291,FALSE
confidence,MAIA_NotDistracting,-0.03967588377914258,-0.17709816751322655,0.09926388539978462,0.5760151380756973,201,0.5760151380756973,FALSE
confidence,MAIA_NotWorrying,-0.12426314289224114,-0.2582172058342226,0.014378853322674802,0.07882155267880286,201,0.09008177449006041,FALSE
confidence,MAIA_AttentionReg,0.22149664835192814,0.08572989168978146,0.3491873878435077,0.001577603683688355,201,0.00631041473475342,TRUE
confidence,MAIA_EmoAware,0.20344878382575535,0.066938810994529,0.33248205804942615,0.003770464314351771,201,0.010054571504938055,TRUE
confidence,MAIA_SelfReg,0.1597851359656163,0.021874129900681532,0.29172873414893014,0.02346398270118572,201,0.03754237232189715,TRUE
confidence,MAIA_BodyListen,0.25428564549211513,0.12011809855065354,0.37933102550059283,2.697952895079657e-4,201,0.0021583623160637256,TRUE
confidence,MAIA_Trusting,0.1750048085092756,0.037518785930274814,0.30598856260461843,0.012960468494040464,201,0.025920936988080928,TRUE
