label,predictor,outcome,control,r,t_stat,df,p,ci_lo,ci_hi,n
ses1,MAIA_total_z,conf_ses1,none,0.24134067849700297,3.5082309427686895,199,5.576554151369742e-4,0.10650319670643245,0.36746206238191537,201
ses1,MAIA_total_z,conf_ses1,MSES_total_z,0.2081874279040435,2.9950821726034826,198,0.0030939818480924816,NA,NA,201
ses1,MAIA_total_z,conf_ses1,MSES_selfdoubt_z,0.21912019076230294,3.1600913245943487,198,0.0018246813290014284,NA,NA,201
ses1,MAIA_total_z,conf_ses1,MSES_total_z,0.20862981706071296,2.994146160234924,197,0.0031049094693645714,NA,NA,201
ses1,MAIA_total_z,conf_ses1,MSES_selfdoubt_z,0.20862981706071296,2.994146160234924,197,0.0031049094693645714,NA,NA,201
ses1,MAIA_BodyListen_z,conf_ses1,none,0.25428564549211513,3.7090603983995933,199,2.697952895079657e-4,0.12011809855065354,0.37933102550059283,201
ses1,MAIA_BodyListen_z,conf_ses1,MSES_total_z,0.23447167517125198,3.393921432507318,198,8.32203087758684e-4,NA,NA,201
ses1,MAIA_BodyListen_z,conf_ses1,MSES_selfdoubt_z,0.241796240726958,3.506420546908118,198,5.618158384508789e-4,NA,NA,201
ses1,MAIA_BodyListen_z,conf_ses1,MSES_total_z,0.2345156535678845,3.3860119926856944,197,8.559804470742763e-4,NA,NA,201
ses1,MAIA_BodyListen_z,conf_ses1,MSES_selfdoubt_z,0.2345156535678845,3.3860119926856944,197,8.559804470742763e-4,NA,NA,201
ses1,MAIA_Noticing_z,conf_ses1,none,0.14550767443788792,2.07471932909807,199,0.03929890130046825,0.0072591374101268705,0.2782981647996918,201
ses1,MAIA_Noticing_z,conf_ses1,MSES_total_z,0.14363622947627153,2.04231861567443,198,0.04244560034881557,NA,NA,201
ses1,MAIA_Noticing_z,conf_ses1,MSES_selfdoubt_z,0.13985801351425445,1.9875108049831787,198,0.04824407712643808,NA,NA,201
ses1,MAIA_Noticing_z,conf_ses1,MSES_total_z,0.14351927020529026,2.0354610139042992,197,0.04314374179773407,NA,NA,201
ses1,MAIA_Noticing_z,conf_ses1,MSES_selfdoubt_z,0.14351927020529026,2.0354610139042992,197,0.04314374179773407,NA,NA,201
ses2,MAIA_total_z,conf_ses2,none,0.29299133071615935,3.7904459623823334,153,2.158421321742743e-4,0.14189726874608943,0.4307437012599263,155
ses2,MAIA_total_z,conf_ses2,MSES_total_z,0.2631604463049801,3.3629985789947687,152,9.756778986661111e-4,NA,NA,155
ses2,MAIA_total_z,conf_ses2,MSES_selfdoubt_z,0.267970742579977,3.4291804398601466,152,7.794161036203903e-4,NA,NA,155
ses2,MAIA_total_z,conf_ses2,MSES_total_z,0.2615085699712253,3.329327875047091,151,0.0010939979401428722,NA,NA,155
ses2,MAIA_total_z,conf_ses2,MSES_selfdoubt_z,0.2615085699712253,3.329327875047091,151,0.0010939979401428722,NA,NA,155
ses2,MAIA_BodyListen_z,conf_ses2,none,0.30232949082135024,3.9232014380852025,153,1.3163989355573599e-4,0.15192212387441928,0.4390517677496386,155
ses2,MAIA_BodyListen_z,conf_ses2,MSES_total_z,0.281463679022852,3.616318227357655,152,4.0595754688039197e-4,NA,NA,155
ses2,MAIA_BodyListen_z,conf_ses2,MSES_selfdoubt_z,0.2858551241977145,3.6777194245149913,152,3.259487336701338e-4,NA,NA,155
ses2,MAIA_BodyListen_z,conf_ses2,MSES_total_z,0.28084481711681303,3.5957982954232794,151,4.3741902700207287e-4,NA,NA,155
ses2,MAIA_BodyListen_z,conf_ses2,MSES_selfdoubt_z,0.28084481711681303,3.5957982954232794,151,4.3741902700207287e-4,NA,NA,155
ses2,MAIA_Noticing_z,conf_ses2,none,0.24304108078768705,3.0991779041458485,153,0.002310085464438694,0.08879502675075246,0.3859034272089817,155
ses2,MAIA_Noticing_z,conf_ses2,MSES_total_z,0.2428428148080229,3.086355333874903,152,0.0024084963120273983,NA,NA,155
ses2,MAIA_Noticing_z,conf_ses2,MSES_selfdoubt_z,0.23907095857448935,3.0354874945455848,152,0.0028261063557943906,NA,NA,155
ses2,MAIA_Noticing_z,conf_ses2,MSES_total_z,0.24158212807416096,3.0592239510090873,151,0.0026263580293367735,NA,NA,155
ses2,MAIA_Noticing_z,conf_ses2,MSES_selfdoubt_z,0.24158212807416096,3.0592239510090873,151,0.0026263580293367735,NA,NA,155
