label,predictor,outcome,control,r,t_stat,df,p,ci_lo,ci_hi,n
thresh_breath_mean,MAIA_total_z,thresh_breath_mean,none,0.0800937044852102,1.0750344550282067,179,0.28380623044073655,-0.06654140626210878,0.2233423101946299,181
thresh_breath_mean,MAIA_total_z,thresh_breath_mean,MSES_total_z,0.0883892496076267,1.1838934214231127,178,0.23803382052134126,NA,NA,181
thresh_breath_mean,MAIA_total_z,thresh_breath_mean,MSES_selfdoubt_z,0.09178043895155871,1.229693992658622,178,0.2204346008877833,NA,NA,181
thresh_breath_mean,MAIA_total_z,thresh_breath_mean,MSES_total_z,0.09090786508452503,1.2144792673359548,177,0.2261825469823486,NA,NA,181
thresh_breath_mean,MAIA_total_z,thresh_breath_mean,MSES_selfdoubt_z,0.09090786508452503,1.2144792673359548,177,0.2261825469823486,NA,NA,181
thresh_breath_mean,MAIA_BodyListen_z,thresh_breath_mean,none,0.021024114024001072,0.28134566116298027,179,0.7787702580645843,-0.1252176244677195,0.16637168512977862,181
thresh_breath_mean,MAIA_BodyListen_z,thresh_breath_mean,MSES_total_z,0.02075760090192395,0.27700062117656987,178,0.7821010399442092,NA,NA,181
thresh_breath_mean,MAIA_BodyListen_z,thresh_breath_mean,MSES_selfdoubt_z,0.022514298366286115,0.3004543642966535,178,0.7641812257201009,NA,NA,181
thresh_breath_mean,MAIA_BodyListen_z,thresh_breath_mean,MSES_total_z,0.020917133918260115,0.2783452654710685,177,0.7810722296932711,NA,NA,181
thresh_breath_mean,MAIA_BodyListen_z,thresh_breath_mean,MSES_selfdoubt_z,0.020917133918260115,0.2783452654710685,177,0.7810722296932711,NA,NA,181
thresh_breath_mean,MAIA_Noticing_z,thresh_breath_mean,none,0.06316036496454551,0.8467186572499737,179,0.39828254320058676,-0.08346631744239613,0.20711013244872895,181
thresh_breath_mean,MAIA_Noticing_z,thresh_breath_mean,MSES_total_z,0.06307297527905481,0.843177283070321,178,0.40026091570640143,NA,NA,181
