trial,mean_sd,n_pp,delta
2,0.036633242880748845,166,NA
3,0.06283538426545895,166,0.02620214138471011
4,0.07428048706219315,166,0.011445102796734191
5,0.08238754575333325,166,0.008107058691140104
6,0.0876700275324277,166,0.005282481779094447
7,0.09102042825355573,166,0.0033504007211280357
8,0.09232572490665639,166,0.0013052966531006543
9,0.0931405586549455,166,8.148337482891121e-4
10,0.09282923101798923,166,-3.1132763695626564e-4
11,0.09229257283654761,166,-5.36658181441621e-4
12,0.09236917793796481,166,7.660510141720145e-5
13,0.09206532553765419,166,-3.038524003106252e-4
14,0.09175165316780716,166,-3.1367236984702895e-4
15,0.09111659509206402,166,-6.350580757431418e-4
16,0.09036124238572796,166,-7.553527063360599e-4
17,0.08979821278974454,166,-5.63029595983422e-4
