study,Salience,Direction,M_threshold,SD_threshold,n_ppts,ses
Study4,Low,Faster,0.5088494933690476,0.19099254429127568,126,NA
Study4,Low,Slower,0.6494234999960318,0.2984499074929464,126,NA
Study4,High,Faster,0.4565581758253968,0.19776118688045516,126,NA
Study4,High,Slower,0.5817502598145161,0.33140546707285967,124,NA
Study5,Low,Faster,0.3813702272552052,0.13616873389729742,206,ses1
Study5,Low,Slower,0.47033595038241977,0.23900209187781238,205,ses1
Study5,High,Faster,0.31693576204934115,0.12282498487328182,206,ses1
Study5,High,Slower,0.4043415003334878,0.22080474376439158,205,ses1
Study5,Low,Faster,0.34409647125110465,0.14401884801381304,155,ses2
Study5,Low,Slower,0.4434913740273043,0.2333384999345307,157,ses2
Study5,High,Faster,0.28430968176225524,0.13118917011150646,154,ses2
Study5,High,Slower,0.3721155684805682,0.2183251423430995,157,ses2
