study,condition,min_trials,coef,n_pp,M,SD,t,df,p,cohens_dz,ci_lower,ci_upper
Study1A,hits,3,b_change_M1,181,-8.620915709985642,8.89426390779306,-13.040152631634381,180,8.536918707089725e-28,-0.9692669117263417,-9.925429321335397,-7.316402098635889
Study1A,hits,3,b_change_M2,181,-12.550874168282736,52.09436220918542,-3.2413246916080287,180,0.001417555043408363,-0.24092576693586495,-20.19150697173741,-4.910241364828061
Study1A,hits,3,b_change2_M2,181,12.618286035324694,69.79684548011558,2.432225629538832,180,0.01598532538890732,0.1807859072788543,2.3812460844066123,22.855325986242775
Study1A,misses,3,b_change_M1,65,-1.7059486582642653,33.611879492438895,-0.4091945465704931,64,0.683763102917135,-0.05075433697922261,-10.034564598826154,6.622667282297623
Study1A,misses,3,b_change_M2,65,21.707639760605595,124.15462029290778,1.4096341033811175,64,0.16348880019581966,0.17484359188077375,-9.056368836370668,52.47164835758186
Study1A,misses,3,b_change2_M2,54,-16.634088042440236,303.8863472555392,-0.40223947283403644,53,0.6891254766639903,-0.05473785904719361,-99.5790940156735,66.31091793079302
Study2,hits,3,b_change_M1,166,-8.688920240573196,7.725405446816051,-14.491007233066831,165,3.1790675039298104e-31,-1.1247202881959093,-9.872813142101352,-7.505027339045041
Study2,hits,3,b_change_M2,166,-8.415678627944192,7.977879080897632,-13.59113533751677,165,1.0338179126672865e-28,-1.0548766837159558,-9.638262281080134,-7.193094974808251
Study2,hits,3,b_change2_M2,166,7.250642879521473,37.881239635764935,2.466075545315106,165,0.014682950792640117,0.1914045830927851,1.4454678612507519,13.055817897792194
Study2,misses,3,b_change_M1,130,-0.0522201407284105,61.57715359323677,-0.009669190223870909,129,0.9923001600397447,-8.480440826051111e-4,-10.737585201039625,10.633144919582806
Study2,misses,3,b_change_M2,130,-7.560155444262139,682.6240568884755,-0.1262759986333947,129,0.8997100571328362,-0.011075137724742229,-126.01459546250203,110.89428457397776
Study2,misses,3,b_change2_M2,109,-0.7272488929296582,827.4744013901395,-0.009175753760715648,108,0.9926958385477678,-8.788778138730279e-4,-157.82970705846333,156.37520927260402
Study4,hits,3,b_change_M1,131,-0.4522409474656719,0.7088656983040846,-7.301995628338796,130,2.525917326766462e-11,-0.63797832022007706,-0.5747697292598649,-0.3297121656714788
Study4,hits,3,b_change_M2,131,-0.40948154670916237,0.8441730375183093,-5.551859998947576,130,1.5261775491055002e-7,-0.48506826030946426,-0.5553984589791238,-0.263564634439201
Study4,hits,3,b_change2_M2,131,0.019688741743806318,2.335848545633442,0.09647369890139744,130,0.9232929291225742,0.008428946209124646,-0.38406711417775813,0.42344459766537074
Study4,misses,3,b_change_M1,131,-0.29327825583801925,1.0316295464993195,-3.2538066360217366,130,0.0014513414215299634,-0.2842864057482796,-0.47159738158760983,-0.11495913008842863
Study4,misses,3,b_change_M2,131,-0.2504648956398265,1.3592486304564075,-2.109034134841607,130,0.03685976427588766,-0.18426716792477146,-0.4854136020643326,-0.015516189215320378
Study4,misses,3,b_change2_M2,130,-0.788610777162144,7.023914956531391,-1.2801331360831811,129,0.20279552150951763,-0.11227510327824106,-2.0074572337375782,0.4302356794132901
Study5,hits,3,b_change_M1,185,-0.4293711384682659,0.6062272964650173,-9.633480562872158,184,4.8430678960884015e-18,-0.7082675771480096,-0.5173065135683899,-0.34143576336814196
Study5,hits,3,b_change_M2,185,-0.38042713620528523,0.7465930016314042,-6.930641544338336,184,6.838169297028826e-11,-0.5095509003888353,-0.48872304440408976,-0.27213122800648065
Study5,hits,3,b_change2_M2,185,1.3460053599457311,2.8449415476634954,6.435159352548904,184,1.0387882393208968e-9,0.4731223251497675,0.9333367064712121,1.75867401342025
Study5,misses,3,b_change_M1,184,-0.20238451155730625,1.0241198390987458,-2.6806209360483453,183,0.008019705615039084,-0.19761799726036972,-0.35134516741573557,-0.05342385569887689
Study5,misses,3,b_change_M2,184,-0.2578751408814178,1.4952516536922384,-2.3393979141690093,183,0.02039379994667968,-0.17246270234488245,-0.47536303487965215,-0.04038724688318336
Study5,misses,3,b_change2_M2,184,-1.3505798814273742,6.334968870591732,-2.8919095299532334,183,0.004293213248751975,-0.2131943990596469,-2.2720161057627277,-0.4291436570920211
