study,condition,min_trials,coef,n_pp,M,SD,t,df,p,cohens_dz,ci_lower,ci_upper,check,range_lo,range_hi,pct_retained,r_scale,BF10,BF01,log_BF10,interp
Study1A,hits,3,b_change_M1,181,-8.620915709985642,8.89426390779306,-13.040152631634381,180,8.536918707089725e-28,-0.9692669117263417,-9.925429321335397,-7.316402098635889,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study1A,hits,3,b_change_M2,181,-12.550874168282736,52.09436220918542,-3.2413246916080287,180,0.001417555043408363,-0.24092576693586495,-20.19150697173741,-4.910241364828061,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study1A,hits,3,b_change2_M2,181,12.618286035324694,69.79684548011558,2.432225629538832,180,0.01598532538890732,0.1807859072788543,2.3812460844066123,22.855325986242775,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study1A,misses,3,b_change_M1,65,-1.7059486582642653,33.611879492438895,-0.4091945465704931,64,0.683763102917135,-0.05075433697922261,-10.034564598826154,6.622667282297623,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study1A,misses,3,b_change_M2,65,21.707639760605595,124.15462029290778,1.4096341033811175,64,0.16348880019581966,0.17484359188077375,-9.056368836370668,52.47164835758186,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study1A,misses,3,b_change2_M2,54,-16.634088042440236,303.8863472555392,-0.40223947283403644,53,0.6891254766639903,-0.05473785904719361,-99.5790940156735,66.31091793079302,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study1A,hits,6,b_change_M1,176,-8.75048975909256,8.810130121218378,-13.176691314858303,175,5.4723183913196685e-28,-0.9932304788572668,-10.061143186730739,-7.439836331454379,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study1A,hits,6,b_change_M2,176,-8.92594597727855,8.841413030119014,-13.393340455769478,175,1.2953615528074057e-28,-1.009561022301703,-10.241253258062255,-7.610638696494846,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study1A,hits,6,b_change2_M2,176,9.268445102010784,56.49041793740732,2.176649132066088,175,0.03084632850359901,0.16407110162081712,0.8645556157409605,17.672334588280606,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,hits,3,b_change_M1,166,-8.688920240573196,7.725405446816051,-14.491007233066831,165,3.1790675039298104e-31,-1.1247202881959093,-9.872813142101352,-7.505027339045041,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,hits,3,b_change_M2,166,-8.415678627944192,7.977879080897632,-13.59113533751677,165,1.0338179126672865e-28,-1.0548766837159558,-9.638262281080134,-7.193094974808251,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,hits,3,b_change2_M2,166,7.250642879521473,37.881239635764935,2.466075545315106,165,0.014682950792640117,0.1914045830927851,1.4454678612507519,13.055817897792194,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,misses,3,b_change_M1,130,-0.0522201407284105,61.57715359323677,-0.009669190223870909,129,0.9923001600397447,-8.480440826051111e-4,-10.737585201039625,10.633144919582806,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,misses,3,b_change_M2,130,-7.560155444262139,682.6240568884755,-0.1262759986333947,129,0.8997100571328362,-0.011075137724742229,-126.01459546250203,110.89428457397776,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,misses,3,b_change2_M2,109,-0.7272488929296582,827.4744013901395,-0.009175753760715648,108,0.9926958385477678,-8.788778138730279e-4,-157.82970705846333,156.37520927260402,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,hits,6,b_change_M1,166,-8.688920240573196,7.725405446816051,-14.491007233066831,165,3.1790675039298104e-31,-1.1247202881959093,-9.872813142101352,-7.505027339045041,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,hits,6,b_change_M2,166,-8.415678627944192,7.977879080897632,-13.59113533751677,165,1.0338179126672865e-28,-1.0548766837159558,-9.638262281080134,-7.193094974808251,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,hits,6,b_change2_M2,166,7.250642879521473,37.881239635764935,2.466075545315106,165,0.014682950792640117,0.1914045830927851,1.4454678612507519,13.055817897792194,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,misses,6,b_change_M1,23,-3.568556805517069,10.914300868817183,-1.5680525419202245,22,0.13114095283822677,-0.3269615569892023,-8.288254425588267,1.1511408145541278,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,misses,6,b_change_M2,23,-2.917279647620153,10.499650156528057,-1.332499796450524,22,0.19633419206615044,-0.27784541428805243,-7.457668853577244,1.623109558336939,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study2,misses,6,b_change2_M2,23,-6.472423197662443,94.43336279789828,-0.32870428717022143,22,0.7454876157523733,-0.06853958183734717,-47.30847151716071,34.363625121835824,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,hits,3,b_change_M1,131,-0.4522409474656719,0.7088656983040846,-7.301995628338796,130,2.525917326766462e-11,-0.63797832022007706,-0.5747697292598649,-0.3297121656714788,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,hits,3,b_change_M2,131,-0.40948154670916237,0.8441730375183093,-5.551859998947576,130,1.5261775491055002e-7,-0.48506826030946426,-0.5553984589791238,-0.263564634439201,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,hits,3,b_change2_M2,131,0.019688741743806318,2.335848545633442,0.09647369890139744,130,0.9232929291225742,0.008428946209124646,-0.38406711417775813,0.42344459766537074,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,misses,3,b_change_M1,131,-0.29327825583801925,1.0316295464993195,-3.2538066360217366,130,0.0014513414215299634,-0.2842864057482796,-0.47159738158760983,-0.11495913008842863,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,misses,3,b_change_M2,131,-0.2504648956398265,1.3592486304564075,-2.109034134841607,130,0.03685976427588766,-0.18426716792477146,-0.4854136020643326,-0.015516189215320378,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,misses,3,b_change2_M2,130,-0.788610777162144,7.023914956531391,-1.2801331360831811,129,0.20279552150951763,-0.11227510327824106,-2.0074572337375782,0.4302356794132901,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,hits,6,b_change_M1,131,-0.4522409474656719,0.7088656983040846,-7.301995628338796,130,2.525917326766462e-11,-0.63797832022007706,-0.5747697292598649,-0.3297121656714788,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,hits,6,b_change_M2,131,-0.40948154670916237,0.8441730375183093,-5.551859998947576,130,1.5261775491055002e-7,-0.48506826030946426,-0.5553984589791238,-0.263564634439201,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,hits,6,b_change2_M2,131,0.019688741743806318,2.335848545633442,0.09647369890139744,130,0.9232929291225742,0.008428946209124646,-0.38406711417775813,0.42344459766537074,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,misses,6,b_change_M1,128,-0.314621536941583,0.9961428988228116,-3.5733190094173284,127,4.990194932108913e-4,-0.3158397628627237,-0.4888515012121827,-0.14039157267098332,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,misses,6,b_change_M2,128,-0.279733349175195,1.3500715035343118,-2.3441881127983097,127,0.020620448685810856,-0.2071989138670725,-0.5158670505763813,-0.04359964777400868,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study4,misses,6,b_change2_M2,128,-0.8664748888724282,4.149472535541997,-2.3624796237173813,127,0.01967208576181122,-0.20881567029320042,-1.5922366771295902,-0.14071310061526626,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,hits,3,b_change_M1,185,-0.4293711384682659,0.6062272964650173,-9.633480562872158,184,4.8430678960884015e-18,-0.7082675771480096,-0.5173065135683899,-0.34143576336814196,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,hits,3,b_change_M2,185,-0.38042713620528523,0.7465930016314042,-6.930641544338336,184,6.838169297028826e-11,-0.5095509003888353,-0.48872304440408976,-0.27213122800648065,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,hits,3,b_change2_M2,185,1.3460053599457311,2.8449415476634954,6.435159352548904,184,1.0387882393208968e-9,0.4731223251497675,0.9333367064712121,1.75867401342025,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,misses,3,b_change_M1,184,-0.20238451155730625,1.0241198390987458,-2.6806209360483453,183,0.008019705615039084,-0.19761799726036972,-0.35134516741573557,-0.05342385569887689,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,misses,3,b_change_M2,184,-0.2578751408814178,1.4952516536922384,-2.3393979141690093,183,0.02039379994667968,-0.17246270234488245,-0.47536303487965215,-0.04038724688318336,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,misses,3,b_change2_M2,184,-1.3505798814273742,6.334968870591732,-2.8919095299532334,183,0.004293213248751975,-0.2131943990596469,-2.2720161057627277,-0.4291436570920211,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,hits,6,b_change_M1,185,-0.4293711384682659,0.6062272964650173,-9.633480562872158,184,4.8430678960884015e-18,-0.7082675771480096,-0.5173065135683899,-0.34143576336814196,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,hits,6,b_change_M2,185,-0.38042713620528523,0.7465930016314042,-6.930641544338336,184,6.838169297028826e-11,-0.5095509003888353,-0.48872304440408976,-0.27213122800648065,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,hits,6,b_change2_M2,185,1.3460053599457311,2.8449415476634954,6.435159352548904,184,1.0387882393208968e-9,0.4731223251497675,0.9333367064712121,1.75867401342025,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,misses,6,b_change_M1,176,-0.23047795755572079,0.9484469381587461,-3.2238341520454794,175,0.0015090595330318143,-0.24300564246973674,-0.3715752187002347,-0.08938069641120686,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,misses,6,b_change_M2,176,-0.24477263137444077,1.342078312891655,-2.4195874992356927,175,0.01656180917824725,-0.1823832700545256,-0.4444291082650518,-0.045116154483829746,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study5,misses,6,b_change2_M2,176,-1.0978744896025139,5.9029991219306,-2.467381528407612,175,0.014572384051437433,-0.18598588055412915,-1.9760438158273534,-0.21970516337767418,regime,NA,NA,NA,NA,NA,NA,NA,NA
Study1A,hits,NA,b_change_M1,181,-10.218257760675062,21.99867566983431,-6.249130647292779,180,2.9047698653928502e-9,-0.46449422292664877,-13.444783546335977,-6.9917319750141464,matched_magnitude,0.01,0.9,99.9,NA,NA,NA,NA,NA
Study1A,hits,NA,b_change_M2,181,-14.165568186648155,55.72400379852655,-3.420038328283066,180,7.746285396413729e-4,-0.25420944693537473,-22.338557226290963,-5.992579147005348,matched_magnitude,0.01,0.9,99.9,NA,NA,NA,NA,NA
Study1A,hits,NA,b_change2_M2,180,12.547570043690056,69.98503473439126,2.405418787883525,179,0.01717257133822058,0.1792893308020903,2.254065946423901,22.841074140956213,matched_magnitude,0.01,0.9,99.9,NA,NA,NA,NA,NA
Study1A,misses,NA,b_change_M1,65,-1.7059486582642653,33.611879492438895,-0.4091945465704931,64,0.683763102917135,-0.05075433697922261,-10.034564598826154,6.622667282297623,matched_magnitude,0.01,0.9,99.9,NA,NA,NA,NA,NA
Study1A,misses,NA,b_change_M2,65,21.707639760605595,124.15462029290778,1.4096341033811175,64,0.16348880019581966,0.17484359188077375,-9.056368836370668,52.47164835758186,matched_magnitude,0.01,0.9,99.9,NA,NA,NA,NA,NA
Study1A,misses,NA,b_change2_M2,54,-16.634088042440236,303.8863472555392,-0.40223947283403644,53,0.6891254766639903,-0.05473785904719361,-99.5790940156735,66.31091793079302,matched_magnitude,0.01,0.9,99.9,NA,NA,NA,NA,NA
Study2,hits,NA,b_change_M1,166,-8.686850012657287,7.72722354343814,-14.484145897703817,165,3.3219191207140122e-31,-1.124187745291004,-9.871021531495561,-7.502678493819011,matched_magnitude,0.01,0.9375,99.6,NA,NA,NA,NA,NA
Study2,hits,NA,b_change_M2,166,-8.40275957014679,7.988772342360757,-13.551767310309057,165,1.3325079044177455e-28,-1.051821132214627,-9.627012579669197,-7.178506560624382,matched_magnitude,0.01,0.9375,99.6,NA,NA,NA,NA,NA
Study2,hits,NA,b_change2_M2,166,7.688257275801006,37.842666447998056,2.617581557420174,165,0.00967895811053273,0.20316373018708694,1.8889934713171719,13.48752108028484,matched_magnitude,0.01,0.9375,99.6,NA,NA,NA,NA,NA
Study2,misses,NA,b_change_M1,130,-0.0522201407284105,61.57715359323677,-0.009669190223870909,129,0.9923001600397447,-8.480440826051111e-4,-10.737585201039625,10.633144919582806,matched_magnitude,0.01,0.9375,99.6,NA,NA,NA,NA,NA
Study2,misses,NA,b_change_M2,130,-7.560155444262139,682.6240568884755,-0.1262759986333947,129,0.8997100571328362,-0.011075137724742229,-126.01459546250203,110.89428457397776,matched_magnitude,0.01,0.9375,99.6,NA,NA,NA,NA,NA
Study2,misses,NA,b_change2_M2,109,-0.7272488929296582,827.4744013901395,-0.009175753760715648,108,0.9926958385477678,-8.788778138730279e-4,-157.82970705846333,156.37520927260402,matched_magnitude,0.01,0.9375,99.6,NA,NA,NA,NA,NA
Study4,hits,NA,b_change_M1,131,-0.4522409474656719,0.7088656983040846,-7.301995628338796,130,2.525917326766462e-11,-0.63797832022007706,-0.5747697292598649,-0.3297121656714788,matched_magnitude,0.012282026,1.341862392,99.8,NA,NA,NA,NA,NA
Study4,hits,NA,b_change_M2,131,-0.40948154670916237,0.8441730375183093,-5.551859998947576,130,1.5261775491055002e-7,-0.48506826030946426,-0.5553984589791238,-0.263564634439201,matched_magnitude,0.012282026,1.341862392,99.8,NA,NA,NA,NA,NA
Study4,hits,NA,b_change2_M2,131,0.019688741743806318,2.335848545633442,0.09647369890139744,130,0.9232929291225742,0.008428946209124646,-0.38406711417775813,0.42344459766537074,matched_magnitude,0.012282026,1.341862392,99.8,NA,NA,NA,NA,NA
Study4,misses,NA,b_change_M1,131,-0.29075094648755134,1.0330054268029545,-3.221470672188373,130,0.001611673898477134,-0.2814611994705542,-0.4693078957598521,-0.11219399721525065,matched_magnitude,0.012282026,1.341862392,99.8,NA,NA,NA,NA,NA
Study4,misses,NA,b_change_M2,131,-0.2520233264448888,1.3575326696839012,-2.124839335090093,130,0.03549257201496802,-0.1856480746821157,-0.48667542579196843,-0.017371227097809125,matched_magnitude,0.012282026,1.341862392,99.8,NA,NA,NA,NA,NA
Study4,misses,NA,b_change2_M2,130,-0.7855938303501019,7.023763571900612,-1.2752632834312638,129,0.20450794999688185,-0.11184798894612029,-2.0044140174416443,0.43322635674144067,matched_magnitude,0.012282026,1.341862392,99.8,NA,NA,NA,NA,NA
Study5,hits,NA,b_change_M1,185,-0.4293711384682659,0.6062272964650173,-9.633480562872158,184,4.8430678960884015e-18,-0.7082675771480096,-0.5173065135683899,-0.34143576336814196,matched_magnitude,0.01,1,100,NA,NA,NA,NA,NA
Study5,hits,NA,b_change_M2,185,-0.38042713620528523,0.7465930016314042,-6.930641544338336,184,6.838169297028826e-11,-0.5095509003888353,-0.48872304440408976,-0.27213122800648065,matched_magnitude,0.01,1,100,NA,NA,NA,NA,NA
Study5,hits,NA,b_change2_M2,185,1.3460053599457311,2.8449415476634954,6.435159352548904,184,1.0387882393208968e-9,0.4731223251497675,0.9333367064712121,1.75867401342025,matched_magnitude,0.01,1,100,NA,NA,NA,NA,NA
Study5,misses,NA,b_change_M1,184,-0.20238451155730625,1.0241198390987458,-2.6806209360483453,183,0.008019705615039084,-0.19761799726036972,-0.35134516741573557,-0.05342385569887689,matched_magnitude,0.01,1,100,NA,NA,NA,NA,NA
Study5,misses,NA,b_change_M2,184,-0.2578751408814178,1.4952516536922384,-2.3393979141690093,183,0.02039379994667968,-0.17246270234488245,-0.47536303487965215,-0.04038724688318336,matched_magnitude,0.01,1,100,NA,NA,NA,NA,NA
Study5,misses,NA,b_change2_M2,184,-1.3505798814273742,6.334968870591732,-2.8919095299532334,183,0.004293213248751975,-0.2131943990596469,-2.2720161057627277,-0.4291436570920211,matched_magnitude,0.01,1,100,NA,NA,NA,NA,NA
Study1A,hits,NA,b_change_M1,181,-8.620915709985642,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,24370404047420754e8,4.103337794704455e-25,56.15282658606813,Extreme evidence: slope ≠ 0
Study1A,hits,NA,b_change2_M2,181,12.618286035324694,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,2.6981472611143085,0.37062469288166644,0.9925653378802944,Anecdotal: slope ≠ 0
Study1A,hits,NA,b_change_M1,181,-8.620915709985642,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,3493935678767542e9,2.862101915833614e-25,56.51307103434615,Extreme evidence: slope ≠ 0
Study1A,hits,NA,b_change2_M2,181,12.618286035324694,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,1.9358434919747267,0.5165706856704175,0.6605431446644365,Anecdotal: slope ≠ 0
Study1A,hits,NA,b_change_M1,181,-8.620915709985642,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,4060846586111486e9,2.4625407012914574e-25,56.6634337024804,Extreme evidence: slope ≠ 0
Study1A,hits,NA,b_change2_M2,181,12.618286035324694,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,1.4575696380482612,0.6860735665014512,0.376770417207994,Anecdotal: slope ≠ 0
Study1A,misses,NA,b_change_M1,65,-1.7059486582642653,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,0.31064924278232386,3.2190646629089437,-1.1690908400021267,Moderate evidence FOR null
Study1A,misses,NA,b_change2_M2,54,-16.634088042440236,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,0.33276748431804254,3.005101300835781,-1.1003112781796351,Moderate evidence FOR null
Study1A,misses,NA,b_change_M1,65,-1.7059486582642653,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,0.2024614233692328,4.9392125342133975,-1.597205912463663,Moderate evidence FOR null
Study1A,misses,NA,b_change2_M2,54,-16.634088042440236,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,0.21920769672640542,4.5618836151000055,-1.5177356117217722,Moderate evidence FOR null
Study1A,misses,NA,b_change_M1,65,-1.7059486582642653,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,0.14739879502734146,6.784315976358605,-1.9146134741087448,Moderate evidence FOR null
Study1A,misses,NA,b_change2_M2,54,-16.634088042440236,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,0.1603213956124316,6.237470651873855,-1.830574755956164,Moderate evidence FOR null
Study2,hits,NA,b_change_M1,166,-8.688920240573196,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,5457763095051177e12,1.8322524862003434e-28,63.86683652709929,Extreme evidence: slope ≠ 0
Study2,hits,NA,b_change2_M2,166,7.250642879521473,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,2.9598404835604617,0.33785604513290407,1.0851353761947804,Anecdotal: slope ≠ 0
Study2,hits,NA,b_change_M1,166,-8.688920240573196,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,809840213377595e13,1.2348114893298605e-28,64.26146428562278,Extreme evidence: slope ≠ 0
Study2,hits,NA,b_change2_M2,166,7.250642879521473,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,2.1546647295737293,0.4641093281356289,0.767635133528187,Anecdotal: slope ≠ 0
Study2,hits,NA,b_change_M1,166,-8.688920240573196,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,9785269858285922e12,1.0219442227781026e-28,64.45067569007918,Extreme evidence: slope ≠ 0
Study2,hits,NA,b_change2_M2,166,7.250642879521473,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,1.6322078445684551,0.6126670713706767,0.48993360417333637,Anecdotal: slope ≠ 0
Study2,misses,NA,b_change_M1,130,-0.0522201407284105,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,0.21703077983251878,4.607641371291636,-1.5277160929542108,Moderate evidence FOR null
Study2,misses,NA,b_change2_M2,109,-0.7272488929296582,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,0.23425760060130277,4.268804928562214,-1.451333911852938,Moderate evidence FOR null
Study2,misses,NA,b_change_M1,130,-0.0522201407284105,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,0.13600464170143928,7.352690227994016,-1.9950662636708638,Moderate evidence FOR null
Study2,misses,NA,b_change2_M2,109,-0.7272488929296582,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,0.14777014966815458,6.76726661132635,-1.9120972552217763,Moderate evidence FOR null
Study2,misses,NA,b_change_M1,130,-0.0522201407284105,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,0.09752700176124554,10.253570620863396,-2.327625998178475,Strong evidence FOR null
Study2,misses,NA,b_change2_M2,109,-0.7272488929296582,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,0.10621613369591308,9.414765584133452,-2.2422792636720628,Moderate evidence FOR null
Study4,hits,NA,b_change_M1,131,-0.4522409474656719,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,261926519.8422074,3.817864646170349e-9,19.38357456377197,Extreme evidence: slope ≠ 0
