study,condition,range_lo,range_hi,pct_retained,coef,n_pp,M,SD,t,df,p,cohens_dz,ci_lower,ci_upper
Study1A,hits,0.01,0.9,99.9,b_change_M1,181,-10.218257760675062,21.99867566983431,-6.249130647292779,180,2.9047698653928502e-9,-0.46449422292664877,-13.444783546335977,-6.9917319750141464
Study1A,hits,0.01,0.9,99.9,b_change_M2,181,-14.165568186648155,55.72400379852655,-3.420038328283066,180,7.746285396413729e-4,-0.25420944693537473,-22.338557226290963,-5.992579147005348
Study1A,hits,0.01,0.9,99.9,b_change2_M2,180,12.547570043690056,69.98503473439126,2.405418787883525,179,0.01717257133822058,0.1792893308020903,2.254065946423901,22.841074140956213
Study1A,misses,0.01,0.9,99.9,b_change_M1,65,-1.7059486582642653,33.611879492438895,-0.4091945465704931,64,0.683763102917135,-0.05075433697922261,-10.034564598826154,6.622667282297623
Study1A,misses,0.01,0.9,99.9,b_change_M2,65,21.707639760605595,124.15462029290778,1.4096341033811175,64,0.16348880019581966,0.17484359188077375,-9.056368836370668,52.47164835758186
Study1A,misses,0.01,0.9,99.9,b_change2_M2,54,-16.634088042440236,303.8863472555392,-0.40223947283403644,53,0.6891254766639903,-0.05473785904719361,-99.5790940156735,66.31091793079302
Study2,hits,0.01,0.9375,99.6,b_change_M1,166,-8.686850012657287,7.72722354343814,-14.484145897703817,165,3.3219191207140122e-31,-1.124187745291004,-9.871021531495561,-7.502678493819011
Study2,hits,0.01,0.9375,99.6,b_change_M2,166,-8.40275957014679,7.988772342360757,-13.551767310309057,165,1.3325079044177455e-28,-1.051821132214627,-9.627012579669197,-7.178506560624382
Study2,hits,0.01,0.9375,99.6,b_change2_M2,166,7.688257275801006,37.842666447998056,2.617581557420174,165,0.00967895811053273,0.20316373018708694,1.8889934713171719,13.48752108028484
Study2,misses,0.01,0.9375,99.6,b_change_M1,130,-0.0522201407284105,61.57715359323677,-0.009669190223870909,129,0.9923001600397447,-8.480440826051111e-4,-10.737585201039625,10.633144919582806
Study2,misses,0.01,0.9375,99.6,b_change_M2,130,-7.560155444262139,682.6240568884755,-0.1262759986333947,129,0.8997100571328362,-0.011075137724742229,-126.01459546250203,110.89428457397776
Study2,misses,0.01,0.9375,99.6,b_change2_M2,109,-0.7272488929296582,827.4744013901395,-0.009175753760715648,108,0.9926958385477678,-8.788778138730279e-4,-157.82970705846333,156.37520927260402
Study4,hits,0.012282026,1.341862392,99.8,b_change_M1,131,-0.4522409474656719,0.7088656983040846,-7.301995628338796,130,2.525917326766462e-11,-0.63797832022007706,-0.5747697292598649,-0.3297121656714788
Study4,hits,0.012282026,1.341862392,99.8,b_change_M2,131,-0.40948154670916237,0.8441730375183093,-5.551859998947576,130,1.5261775491055002e-7,-0.48506826030946426,-0.5553984589791238,-0.263564634439201
Study4,hits,0.012282026,1.341862392,99.8,b_change2_M2,131,0.019688741743806318,2.335848545633442,0.09647369890139744,130,0.9232929291225742,0.008428946209124646,-0.38406711417775813,0.42344459766537074
Study4,misses,0.012282026,1.341862392,99.8,b_change_M1,131,-0.29075094648755134,1.0330054268029545,-3.221470672188373,130,0.001611673898477134,-0.2814611994705542,-0.4693078957598521,-0.11219399721525065
Study4,misses,0.012282026,1.341862392,99.8,b_change_M2,131,-0.2520233264448888,1.3575326696839012,-2.124839335090093,130,0.03549257201496802,-0.1856480746821157,-0.48667542579196843,-0.017371227097809125
Study4,misses,0.012282026,1.341862392,99.8,b_change2_M2,130,-0.7855938303501019,7.023763571900612,-1.2752632834312638,129,0.20450794999688185,-0.11184798894612029,-2.0044140174416443,0.43322635674144067
Study5,hits,0.01,1,100,b_change_M1,185,-0.4293711384682659,0.6062272964650173,-9.633480562872158,184,4.8430678960884015e-18,-0.7082675771480096,-0.5173065135683899,-0.34143576336814196
Study5,hits,0.01,1,100,b_change_M2,185,-0.38042713620528523,0.7465930016314042,-6.930641544338336,184,6.838169297028826e-11,-0.5095509003888353,-0.48872304440408976,-0.27213122800648065
Study5,hits,0.01,1,100,b_change2_M2,185,1.3460053599457311,2.8449415476634954,6.435159352548904,184,1.0387882393208968e-9,0.4731223251497675,0.9333367064712121,1.75867401342025
Study5,misses,0.01,1,100,b_change_M1,184,-0.20238451155730625,1.0241198390987458,-2.6806209360483453,183,0.008019705615039084,-0.19761799726036972,-0.35134516741573557,-0.05342385569887689
Study5,misses,0.01,1,100,b_change_M2,184,-0.2578751408814178,1.4952516536922384,-2.3393979141690093,183,0.02039379994667968,-0.17246270234488245,-0.47536303487965215,-0.04038724688318336
Study5,misses,0.01,1,100,b_change2_M2,184,-1.3505798814273742,6.334968870591732,-2.8919095299532334,183,0.004293213248751975,-0.2131943990596469,-2.2720161057627277,-0.4291436570920211
