study,condition,coef,r_scale,n_pp,M,BF10,BF01,log_BF10,interp
Study1A,hits,b_change_M1,0.3,181,-8.620915709985642,24370404047420754e8,4.103337794704455e-25,56.15282658606813,Extreme evidence: slope ≠ 0
Study1A,hits,b_change2_M2,0.3,181,12.618286035324694,2.6981472611143085,0.37062469288166644,0.9925653378802944,Anecdotal: slope ≠ 0
Study1A,hits,b_change_M1,0.5,181,-8.620915709985642,3493935678767542e9,2.862101915833614e-25,56.51307103434615,Extreme evidence: slope ≠ 0
Study1A,hits,b_change2_M2,0.5,181,12.618286035324694,1.9358434919747267,0.5165706856704175,0.6605431446644365,Anecdotal: slope ≠ 0
Study1A,hits,b_change_M1,0.707,181,-8.620915709985642,4060846586111486e9,2.4625407012914574e-25,56.6634337024804,Extreme evidence: slope ≠ 0
Study1A,hits,b_change2_M2,0.707,181,12.618286035324694,1.4575696380482612,0.6860735665014512,0.376770417207994,Anecdotal: slope ≠ 0
Study1A,misses,b_change_M1,0.3,65,-1.7059486582642653,0.31064924278232386,3.2190646629089437,-1.1690908400021267,Moderate evidence FOR null
Study1A,misses,b_change2_M2,0.3,54,-16.634088042440236,0.33276748431804254,3.005101300835781,-1.1003112781796351,Moderate evidence FOR null
Study1A,misses,b_change_M1,0.5,65,-1.7059486582642653,0.2024614233692328,4.9392125342133975,-1.597205912463663,Moderate evidence FOR null
Study1A,misses,b_change2_M2,0.5,54,-16.634088042440236,0.21920769672640542,4.5618836151000055,-1.5177356117217722,Moderate evidence FOR null
Study1A,misses,b_change_M1,0.707,65,-1.7059486582642653,0.14739879502734146,6.784315976358605,-1.9146134741087448,Moderate evidence FOR null
Study1A,misses,b_change2_M2,0.707,54,-16.634088042440236,0.1603213956124316,6.237470651873855,-1.830574755956164,Moderate evidence FOR null
Study2,hits,b_change_M1,0.3,166,-8.688920240573196,5457763095051177e12,1.8322524862003434e-28,63.86683652709929,Extreme evidence: slope ≠ 0
Study2,hits,b_change2_M2,0.3,166,7.250642879521473,2.9598404835604617,0.33785604513290407,1.0851353761947804,Anecdotal: slope ≠ 0
Study2,hits,b_change_M1,0.5,166,-8.688920240573196,809840213377595e13,1.2348114893298605e-28,64.26146428562278,Extreme evidence: slope ≠ 0
Study2,hits,b_change2_M2,0.5,166,7.250642879521473,2.1546647295737293,0.4641093281356289,0.767635133528187,Anecdotal: slope ≠ 0
Study2,hits,b_change_M1,0.707,166,-8.688920240573196,9785269858285922e12,1.0219442227781026e-28,64.45067569007918,Extreme evidence: slope ≠ 0
Study2,hits,b_change2_M2,0.707,166,7.250642879521473,1.6322078445684551,0.6126670713706767,0.48993360417333637,Anecdotal: slope ≠ 0
Study2,misses,b_change_M1,0.3,130,-0.0522201407284105,0.21703077983251878,4.607641371291636,-1.5277160929542108,Moderate evidence FOR null
Study2,misses,b_change2_M2,0.3,109,-0.7272488929296582,0.23425760060130277,4.268804928562214,-1.451333911852938,Moderate evidence FOR null
Study2,misses,b_change_M1,0.5,130,-0.0522201407284105,0.13600464170143928,7.352690227994016,-1.9950662636708638,Moderate evidence FOR null
Study2,misses,b_change2_M2,0.5,109,-0.7272488929296582,0.14777014966815458,6.76726661132635,-1.9120972552217763,Moderate evidence FOR null
Study2,misses,b_change_M1,0.707,130,-0.0522201407284105,0.09752700176124554,10.253570620863396,-2.327625998178475,Strong evidence FOR null
Study2,misses,b_change2_M2,0.707,109,-0.7272488929296582,0.10621613369591308,9.414765584133452,-2.2422792636720628,Moderate evidence FOR null
Study4,hits,b_change_M1,0.3,131,-0.4522409474656719,261926519.8422074,3.817864646170349e-9,19.38357456377197,Extreme evidence: slope ≠ 0
Study4,hits,b_change2_M2,0.3,131,0.019688741743806318,0.21718534387109512,4.604362256568863,-1.5270041707722974,Moderate evidence FOR null
Study4,hits,b_change_M1,0.5,131,-0.4522409474656719,323054735.9048983,3.0954506740132814e-9,19.593332327835913,Extreme evidence: slope ≠ 0
Study4,hits,b_change2_M2,0.5,131,0.019688741743806318,0.13610914875873537,7.347044699931097,-1.9942981507262196,Moderate evidence FOR null
Study4,hits,b_change_M1,0.707,131,-0.4522409474656719,327035830.2671856,3.057768927591231e-9,19.605580295541404,Extreme evidence: slope ≠ 0
Study4,hits,b_change2_M2,0.707,131,0.019688741743806318,0.09760388502522609,10.245493811455828,-2.3268379807689787,Strong evidence FOR null
Study4,misses,b_change_M1,0.3,131,-0.29327825583801925,21.3193201900462,0.04690581083663686,3.0596137127689267,Strong evidence: slope ≠ 0
Study4,misses,b_change2_M2,0.3,130,-0.788610777162144,0.4464471066712769,2.2399070014274036,-0.8064343477851758,Inconclusive
